method,split,step,reward,rolling_reward
GRPO,train,165,0.484375,0.5060763888888888
GRPO,train,166,0.4765625,0.5095486111111112
GRPO,train,167,0.5078125,0.5047743055555556
GRPO,train,168,0.49609375,0.5030381944444444
GRPO,train,169,0.46484375,0.48828125
GRPO,train,170,0.42578125,0.4713541666666667
GRPO,train,171,0.48046875,0.4769965277777778
GRPO,train,172,0.546875,0.4904513888888889
GRPO,train,173,0.41015625,0.4769965277777778
GRPO,train,174,0.4296875,0.4709201388888889
GRPO,train,175,0.4609375,0.4691840277777778
GRPO,train,176,0.57421875,0.4765625
GRPO,train,177,0.421875,0.4683159722222222
GRPO,train,178,0.59375,0.4826388888888889
GRPO,train,179,0.51953125,0.4930555555555556
GRPO,train,180,0.4453125,0.4891493055555556
GRPO,train,181,0.52734375,0.4869791666666667
GRPO,train,182,0.47265625,0.4939236111111111
GRPO,train,183,0.45703125,0.4969618055555556
GRPO,train,184,0.54296875,0.5060763888888888
GRPO,train,185,0.44140625,0.4913194444444444
GRPO,train,186,0.53515625,0.50390625
GRPO,train,187,0.4921875,0.4926215277777778
GRPO,train,188,0.48046875,0.48828125
GRPO,train,189,0.53515625,0.4982638888888889
GRPO,train,190,0.49609375,0.4947916666666667
GRPO,train,191,0.46484375,0.4939236111111111
GRPO,train,192,0.5,0.4986979166666667
GRPO,train,193,0.53515625,0.4978298611111111
GRPO,train,194,0.515625,0.5060763888888888
GRPO,train,195,0.56640625,0.5095486111111112
GRPO,train,196,0.5,0.5104166666666666
GRPO,train,197,0.45703125,0.5078125
GRPO,train,198,0.3515625,0.4874131944444444
GRPO,train,199,0.58203125,0.4969618055555556
GRPO,train,200,0.51953125,0.5030381944444444
GRPO,validation,10,0.0517578125,
GRPO,validation,20,0.390625,
GRPO,validation,30,0.4453125,
GRPO,validation,40,0.45703125,
GRPO,validation,50,0.4443359375,
GRPO,validation,60,0.4462890625,
GRPO,validation,70,0.4580078125,
GRPO,validation,80,0.486328125,
GRPO,validation,90,0.4794921875,
GRPO,validation,100,0.4765625,
GRPO,validation,110,0.47265625,
GRPO,validation,120,0.482421875,
GRPO,validation,130,0.484375,
GRPO,validation,140,0.4873046875,
GRPO,validation,150,0.478515625,
GRPO,validation,160,0.4755859375,
GRPO,validation,170,0.4921875,
GRPO,validation,180,0.5048828125,
GRPO,validation,190,0.4853515625,
GRPO,validation,200,0.4951171875,
Dr.GRPO,train,1,0.0,0.0
Dr.GRPO,train,2,0.0,0.0
Dr.GRPO,train,3,0.00390625,0.0013020833333333333
Dr.GRPO,train,4,0.0,0.0009765625
Dr.GRPO,train,5,0.0,0.00078125
Dr.GRPO,train,6,0.0078125,0.001953125
Dr.GRPO,train,7,0.0,0.0016741071428571428
Dr.GRPO,train,8,0.0,0.00146484375
Dr.GRPO,train,9,0.00390625,0.001736111111111111
Dr.GRPO,train,10,0.00390625,0.002170138888888889
Dr.GRPO,train,11,0.01171875,0.003472222222222222
Dr.GRPO,train,12,0.015625,0.004774305555555556
Dr.GRPO,train,13,0.03515625,0.008680555555555556
Dr.GRPO,train,14,0.0546875,0.014756944444444444
Dr.GRPO,train,15,0.0390625,0.018229166666666668
Dr.GRPO,train,16,0.109375,0.030381944444444444
Dr.GRPO,train,17,0.09765625,0.04123263888888889
Dr.GRPO,train,18,0.08984375,0.05078125
Dr.GRPO,train,19,0.13671875,0.06553819444444445
Dr.GRPO,train,20,0.17578125,0.0837673611111111
Dr.GRPO,train,21,0.23046875,0.1076388888888889
Dr.GRPO,train,22,0.17578125,0.1232638888888889
Dr.GRPO,train,23,0.3359375,0.1545138888888889
Dr.GRPO,train,24,0.30078125,0.18359375
Dr.GRPO,train,25,0.234375,0.1974826388888889
Dr.GRPO,train,26,0.30859375,0.2209201388888889
Dr.GRPO,train,27,0.2734375,0.24131944444444445
Dr.GRPO,train,28,0.44140625,0.2751736111111111
Dr.GRPO,train,29,0.3125,0.2903645833333333
Dr.GRPO,train,30,0.34765625,0.3033854166666667
Dr.GRPO,train,31,0.35546875,0.3233506944444444
Dr.GRPO,train,32,0.359375,0.3259548611111111
Dr.GRPO,train,33,0.38671875,0.3355034722222222
Dr.GRPO,train,34,0.4375,0.3580729166666667
Dr.GRPO,train,35,0.265625,0.3532986111111111
Dr.GRPO,train,36,0.3984375,0.3671875
Dr.GRPO,train,37,0.42578125,0.3654513888888889
Dr.GRPO,train,38,0.28515625,0.3624131944444444
Dr.GRPO,train,39,0.3359375,0.3611111111111111
Dr.GRPO,train,40,0.4140625,0.3676215277777778
Dr.GRPO,train,41,0.3828125,0.3702256944444444
Dr.GRPO,train,42,0.35546875,0.3667534722222222
Dr.GRPO,train,43,0.51953125,0.3758680555555556
Dr.GRPO,train,44,0.34765625,0.3849826388888889
Dr.GRPO,train,45,0.4375,0.3893229166666667
Dr.GRPO,train,46,0.51171875,0.3988715277777778
Dr.GRPO,train,47,0.44921875,0.4171006944444444
Dr.GRPO,train,48,0.484375,0.43359375
Dr.GRPO,train,49,0.38671875,0.4305555555555556
Dr.GRPO,train,50,0.421875,0.4348958333333333
Dr.GRPO,train,51,0.484375,0.44921875
Dr.GRPO,train,52,0.46875,0.4435763888888889
Dr.GRPO,train,53,0.33203125,0.4418402777777778
Dr.GRPO,train,54,0.42578125,0.4405381944444444
Dr.GRPO,train,55,0.49609375,0.4388020833333333
Dr.GRPO,train,56,0.49609375,0.4440104166666667
Dr.GRPO,train,57,0.42578125,0.4375
Dr.GRPO,train,58,0.46484375,0.4461805555555556
Dr.GRPO,train,59,0.5390625,0.4592013888888889
Dr.GRPO,train,60,0.49609375,0.4605034722222222
Dr.GRPO,train,61,0.47265625,0.4609375
Dr.GRPO,train,62,0.61328125,0.4921875
Dr.GRPO,train,63,0.41015625,0.4904513888888889
Dr.GRPO,train,64,0.46875,0.4874131944444444
Dr.GRPO,train,65,0.5078125,0.4887152777777778
Dr.GRPO,train,66,0.47265625,0.4939236111111111
Dr.GRPO,train,67,0.453125,0.4926215277777778
Dr.GRPO,train,68,0.5546875,0.4943576388888889
Dr.GRPO,train,69,0.59375,0.5052083333333334
Dr.GRPO,train,70,0.40625,0.4978298611111111
Dr.GRPO,train,71,0.36328125,0.4700520833333333
Dr.GRPO,train,72,0.5390625,0.484375
Dr.GRPO,train,73,0.421875,0.4791666666666667
Dr.GRPO,train,74,0.390625,0.4661458333333333
Dr.GRPO,train,75,0.5078125,0.4700520833333333
Dr.GRPO,train,76,0.4453125,0.4691840277777778
Dr.GRPO,train,77,0.5,0.4631076388888889
Dr.GRPO,train,78,0.484375,0.4509548611111111
Dr.GRPO,train,79,0.40234375,0.4505208333333333
Dr.GRPO,train,80,0.53125,0.4691840277777778
Dr.GRPO,train,81,0.47265625,0.4618055555555556
Dr.GRPO,train,82,0.42578125,0.4622395833333333
Dr.GRPO,train,83,0.3203125,0.4544270833333333
Dr.GRPO,train,84,0.30078125,0.4314236111111111
Dr.GRPO,train,85,0.421875,0.4288194444444444
Dr.GRPO,train,86,0.35546875,0.4127604166666667
Dr.GRPO,train,87,0.421875,0.4058159722222222
Dr.GRPO,train,88,0.44921875,0.4110243055555556
Dr.GRPO,train,89,0.34765625,0.390625
Dr.GRPO,train,90,0.48046875,0.3914930555555556
Dr.GRPO,train,91,0.45703125,0.3949652777777778
Dr.GRPO,train,92,0.4296875,0.4071180555555556
Dr.GRPO,train,93,0.4921875,0.4283854166666667
Dr.GRPO,train,94,0.62109375,0.4505208333333333
Dr.GRPO,train,95,0.49609375,0.4661458333333333
Dr.GRPO,train,96,0.47265625,0.4717881944444444
Dr.GRPO,train,97,0.56640625,0.4848090277777778
Dr.GRPO,train,98,0.54296875,0.5065104166666666
Dr.GRPO,train,99,0.421875,0.5
Dr.GRPO,train,100,0.390625,0.4926215277777778
Dr.GRPO,train,101,0.63671875,0.515625
Dr.GRPO,train,102,0.44921875,0.5108506944444444
Dr.GRPO,train,103,0.46875,0.4939236111111111
Dr.GRPO,train,104,0.52734375,0.4973958333333333
Dr.GRPO,train,105,0.45703125,0.4956597222222222
Dr.GRPO,train,106,0.453125,0.4830729166666667
Dr.GRPO,train,107,0.48828125,0.4769965277777778
Dr.GRPO,train,108,0.578125,0.4943576388888889
Dr.GRPO,train,109,0.46484375,0.5026041666666666
Dr.GRPO,train,110,0.57421875,0.4956597222222222
Dr.GRPO,train,111,0.59375,0.51171875
Dr.GRPO,train,112,0.4453125,0.5091145833333334
Dr.GRPO,train,113,0.61328125,0.5186631944444444
Dr.GRPO,train,114,0.4609375,0.5190972222222222
Dr.GRPO,train,115,0.48828125,0.5230034722222222
Dr.GRPO,train,116,0.49609375,0.5238715277777778
Dr.GRPO,train,117,0.5078125,0.5160590277777778
Dr.GRPO,train,118,0.42578125,0.51171875
Dr.GRPO,train,119,0.4140625,0.4939236111111111
Dr.GRPO,train,120,0.51953125,0.4856770833333333
Dr.GRPO,train,121,0.4609375,0.4874131944444444
Dr.GRPO,train,122,0.484375,0.4730902777777778
